publishedAt,view_count,comment_count,title,video_id
2025-04-19T08:09:20Z,2637,0,[NCT WISH]🩷팝팝 위츄ver. 앨범구매🩷#shorts #nctwish #시온 #리쿠 #유우시 #재희 #료 #사쿠야 #위시 #wish #위츄 #wichu #poppop #팝츄,hgGet9JBnjc
2025-04-19T07:24:18Z,217800,539,NCT WISH (엔시티 위시) - poppop | Show! MusicCore | MBC250419방송,7TCaf5gRGyU
2025-04-19T07:02:19Z,326,0,NCT WISH - Songbird 2025.04.19 (Part 2),ENLNiL3viXY
2025-04-19T07:00:02Z,7895,0,Reaksi Pendengar Musik Korea ke NCT Wish Ternyata...,2slyI62pE0Q
2025-04-19T03:01:05Z,9908,40,[입덕직캠] 엔시티 위시 사쿠야 직캠 4K &#39;poppop&#39; (NCT WISH SAKUYA FanCam) | @MCOUNTDOWN_2025.4.17,rUbcz1K3xZo
2025-04-19T03:01:07Z,18040,225,[입덕직캠] 엔시티 위시 재희 직캠 4K &#39;poppop&#39; (NCT WISH JAEHEE FanCam) | @MCOUNTDOWN_2025.4.17,zKtIkqA5OU0
2025-04-19T03:00:27Z,1909,12,Video K-Talk: Merayakan Comeback &#39;poppop&#39; Bareng NCT WISH (ENG/INA SUB),RAvgCt9rEdU
2025-04-19T03:00:22Z,5916,72,[입덕직캠] 엔시티 위시 료 직캠 4K &#39;poppop&#39; (NCT WISH RYO FanCam) | @MCOUNTDOWN_2025.4.17,Lri8sZ-vFIs
2025-04-19T03:00:32Z,100749,465,[Replay] NCT WISH &#39;poppop&#39; Countdown Live,Lm5mb5UgucI
2025-04-19T03:00:02Z,70324,294,[입덕직캠] 엔시티 위시 유우시 직캠 4K &#39;poppop&#39; (NCT WISH YUSHI FanCam) | @MCOUNTDOWN_2025.4.17,1Zew9kiuMko
2025-04-19T03:00:03Z,26317,137,[입덕직캠] 엔시티 위시 시온 직캠 4K &#39;poppop&#39; (NCT WISH SION FanCam) | @MCOUNTDOWN_2025.4.17,1DJzxJEMYN0
2025-04-19T01:16:13Z,41279,17,[Playlist] 엔시티위시 플레이리스트 | NCT WISH: 주인공은 너와 나야,pi06pte-hSM
2025-04-18T22:59:19Z,465,0,#127 NCT WISH  &#39;poppop&#39; |  💓 #nctwish_poppop #nctwish #yushi #sakuya #poppop #nct #shorts,AmwO3MKrw78
2025-04-18T15:30:07Z,9555,40,NCT WISH - poppop and Melt Inside My Pocket! HONEST Review!,99Gg3LSOsJo
2025-04-18T13:31:26Z,1205,2,NCT WISH (엔시티 위시) - Silly Dance (Color Coded Lyrics HAN|ROM|INDO),lp06n6sjeu0
2025-04-18T13:31:07Z,1055,0,NCT WISH (엔시티 위시) - Still 3PM (Color Coded Lyrics HAN|ROM|INDO),yYrpdQ3ienA
2025-04-18T13:08:00Z,93506,35,NCT WISH - &#39;poppop&#39; Dance Practice [MIRRORED],0IyjM8mk_q0
2025-04-18T13:00:06Z,526436,2058,[팅글썰롱] ASMR로 듣는 &#39;엔시티 위시 리쿠&amp;유우시가 친해진 계기는?&#39; | NCT WISH 리쿠&amp;유우시 편 (ENG/JPN),9bU8cr0phOs
2025-04-18T12:35:01Z,18946,105,[얼빡직캠 4K] 엔시티 위시 시온 &#39;poppop&#39; (NCT WISH SION Facecam) @뮤직뱅크(Music Bank) 250418,Up1uqjnWi1o
2025-04-18T12:35:00Z,23313,96,[얼빡직캠 4K] 엔시티 위시 사쿠야 &#39;poppop&#39; (NCT WISH SAKUYA Facecam) @뮤직뱅크(Music Bank) 250418,HG8zHB4VxVY
2025-04-18T12:02:40Z,751837,24,NCT WISHにTREASURE‼️韓国アイドルの日本人メンバーが使うハンボノが面白すぎる🤣,bwbgRODmmpQ
2025-04-18T12:01:55Z,8812,121,[얼빡직캠 4K] 엔시티 위시 료 &#39;poppop&#39; (NCT WISH RYO Facecam) @뮤직뱅크(Music Bank) 250418,xoAr5nnQaQc
2025-04-18T12:01:26Z,12851,178,[얼빡직캠 4K] 엔시티 위시 재희 &#39;poppop&#39; (NCT WISH JAEHEE Facecam) @뮤직뱅크(Music Bank) 250418,qEAmCZH5cQA
2025-04-18T12:00:37Z,74291,281,[얼빡직캠 4K] 엔시티 위시 리쿠 &#39;poppop&#39; (NCT WISH RIKU Facecam) @뮤직뱅크(Music Bank) 250418,Kj9GrsRk-Ig
2025-04-18T11:57:41Z,14235,30,250417 NCT WISH의 CHAT WITH WISH Ep29 풀버전 한국어 번역본,kldiIkrdLqc
2025-04-18T11:50:05Z,28246,74,[K-Choreo 8K HDR] 엔시티위시 직캠 &#39;poppop&#39; (NCT WISH Choreography) 🎧공간음향.Ver @MusicBank 250418,PxuOd-QeXQE
2025-04-18T11:39:39Z,6386,1,poppop [NCT WISH] #dance tutorial,paljM59i134
2025-04-18T11:00:38Z,457009,875,NCT WISH 엔시티 위시 &#39;poppop&#39; Dance Practice,L0QIuPZL20M
2025-04-18T11:00:02Z,31285,31,(ENG) [OFF AIR] 팔방미인 리더부터 너무 깜찍한 막내까지 🫧NCT WISH🫧의 팝팝한 순간들을 모아왔zip💚 | 정오의 희망곡 김신영입니다 | MBC 250416 방송,1gL9omePahI
2025-04-18T10:48:03Z,48879,16,NCT WISH 엔시티 위시 - WISH (Korean ver.)  Stage Mix(교차편집) Special Edit.,49o1chugjhE
2025-04-18T10:40:00Z,2832,2,【NCT WISH】🫧WISHの可愛さがPOPPOPと弾けている🫧開封動画,7nlOCu_Mt4s
2025-04-18T10:30:24Z,27805,74,(ENG)[MusicBank Interview Cam] 엔시티위시 (NCT WISH Interview) l @MusicBank KBS 250418,O-ZtysXnDPU
2025-04-18T10:01:33Z,24989,23,[안무가 튜토리얼] NCT WISH 엔시티 위시 &#39;poppop&#39; Dance Tutorial with High Score,rIKt7WOh0_g
2025-04-18T09:50:58Z,7910,115,[K-Fancam] 엔시티 위시 재희 직캠 &#39;poppop&#39; (NCT WISH JAEHEE Facecam) @뮤직뱅크(Music Bank) 250418,Y4oixinHiIs
2025-04-18T09:49:59Z,7542,46,[K-Fancam] 엔시티 위시 사쿠야 직캠 &#39;poppop&#39; (NCT WISH SAKUYA Facecam) @뮤직뱅크(Music Bank) 250418,LUB_w3qPlVg
2025-04-18T09:50:34Z,27212,131,[K-Fancam] 엔시티 위시 유우시 직캠 &#39;poppop&#39; (NCT WISH YUSHI Facecam) @뮤직뱅크(Music Bank) 250418,nd4RrNEIjEU
2025-04-18T09:47:09Z,7605,104,[K-Fancam] 엔시티 위시 료 직캠 &#39;poppop&#39; (NCT WISH RYO Facecam) @뮤직뱅크(Music Bank) 250418,VSjfXbszBvo
2025-04-18T09:40:27Z,281611,357,poppop - NCT WISH (엔시티 위시) [뮤직뱅크/Music Bank] | KBS 250418 방송,Bw-ILM88raA
2025-04-18T09:31:20Z,228554,359,poppop - NCT WISH エヌシーティー ウィッシュ 엔시티 위시 [Music Bank] | KBS WORLD TV 250418,Gt8wq03rcf0
2025-04-18T09:00:28Z,5209,2,NCT WISH (엔시티 위시) - Melt Inside My pocket 🍫 피아노 건반 10개로 쉽게 연주하기 🎹 #피아노연주 #NCTWISH #MIMP #엔시티위시 #NCT,KXxKqm4qxdY
2025-04-18T08:43:59Z,20786,112,(Interview) Interview with NCT WISH [Music Bank] | KBS WORLD TV 250418,NeXf1xGVW-A
2025-04-18T08:00:53Z,39608,35,WISHちゃんが初めてのラジオ番組に出演したそうです【NCT WISH】,lAoGeyRqlkc
2025-04-18T07:42:16Z,5583,1,청량미 팝팝 터지는✨ NCT WISH,BFTcZpCtVsY
2025-04-18T07:06:11Z,333861,105,NCT WISH 타이틀곡 vs 수록곡 #shorts,cgy-WgVlYq8
2025-04-18T05:57:06Z,2710,1,[월클돌] NCT WISH 미션 도전! 성공 or 실패_ 웃음 폭발 챌린지,KqRgt5byAew
2025-04-18T04:30:15Z,2871,11,NCT WISH&#39;s SION best Leader,RiVcMmuOhAQ
2025-04-18T04:10:44Z,364716,257,poppop with #JOHNNY #MARK #RIKU #SAKUYA #NCTWISH #poppop #NCTWISH_poppop #NCT #NCT127 #NCTDREAM,BRGuV6pn4NU
2025-04-18T03:00:30Z,9077,121,[FOCUS ON FACE] NCT WISH JAEHEE(재희) &#39;poppop&#39; | MOVE TO PERFORMANCE (4K),xMfsVYlAKUs
2025-04-18T03:00:17Z,13959,80,[FOCUS ON FACE] NCT WISH SION(시온) &#39;poppop&#39; | MOVE TO PERFORMANCE (4K),7KrzRf2_JhM
2025-04-18T03:00:15Z,12106,79,[FOCUS ON FACE] NCT WISH SAKUYA(사쿠야) &#39;poppop&#39; | MOVE TO PERFORMANCE (4K),PbQozRDAD8w
2025-04-18T03:00:11Z,14844,95,[FOCUS ON FACE] NCT WISH RIKU(리쿠) &#39;poppop&#39; | MOVE TO PERFORMANCE (4K),_hSbgmMnEZU
2025-04-18T03:00:13Z,6148,82,[FOCUS ON FACE] NCT WISH RYO(료) &#39;poppop&#39; | MOVE TO PERFORMANCE (4K),b1IDr8JNV6U
2025-04-18T02:15:29Z,12,0,#nctwish #nct #wish #엔시티위시 #위시 #엔시티 #kpop #최애 #최애영상,68W4VpZrSus
2025-04-17T21:18:26Z,1934,0,NCT WISH &quot; poppop &quot; lyrics كلمات مترجمة للعربية واضحة مع شرح المعاني 💗,hLNgbyaJQsg
2025-04-17T20:32:12Z,9422,51,NCT WISH-Cherry Bomb (원곡: NCT127) #aicover,RmhYD5N-RyY
2025-04-17T19:47:22Z,1127,8,NCT WISH - Still 3PM (Traducida al Español),54uPy5ZYPyw
2025-04-17T16:46:45Z,1109,0,【掛け声 / 응원법】 NCT WISH (엔시티 위시) - &#39;poppop (팝팝)&#39; 音声有り,Pytm95hMvho
2025-04-17T15:00:22Z,206,1,[FREE] NCT WISH Inspired K-POP TYPE BEAT &quot;POP&quot; For New Group Boys,POr5nLLJcwQ
2025-04-17T14:38:15Z,1328,0,"⭐️NCT WISH - POPPOP WICHU ALBUM UNBOXING(WICHU YUSHI, RIKU PHOTOCARD)⭐️엔시티위시 팝팝 언박싱 #nctwish #poppop",XTl0Zi7PWQg
2025-04-17T14:19:36Z,569,0,[THAISUB] NCT WISH &#39;1000&#39;🫙 by #chlyzsub,8Gkgopv6bAw
2025-04-17T13:56:07Z,316846,115,poppop with #규진 #YUSHI #SAKUYA #NCTWISH #poppop #NCTWISH_poppop #NMIXX #엔믹스 #KYUJIN,naj5DDA38-I
2025-04-17T13:33:44Z,2012,1,NCT WISH - POPPOP | EASY LYRICS #nctwish #nct #poppop #kpop #kpopsongs #easylyrics #lirik,I_q3Z3zJrUY
2025-04-17T13:30:51Z,1560,0,[NCT WISH] 이 연프를 아는 사람들: 너무 재밌어 #유우시,mSCBY4ywdys
2025-04-17T12:42:53Z,881,7,NCT WISH - poppop (sped up),YceTsxP91J8
2025-04-17T12:37:53Z,26366,74,NCT WISH - 1000 (Color Coded Lyrics &amp; Line Distribution),j4UPINZh_Iw
2025-04-17T12:36:21Z,312786,201,Wait for the end #RIKU #YUSHI #JAEHEE #RYO #NCTWISH #poppop #NCTWISH_poppop,4sLlrgtJA8E
2025-04-17T12:17:31Z,286743,213,꩜ poppoppoppop ꩜ #NCTWISH #poppop #NCTWISH_poppop,izRx_Id_VDU
2025-04-17T11:56:53Z,30957,10,NCT WISH &#39;poppop&#39; Easy Lyrics,Q049p2RAyDY
2025-04-17T11:00:01Z,44270,242,2025 NCT WISH ASIA TOUR LOG in SEOUL Recap Video,095h8Pu0z3I
2025-04-17T10:48:46Z,821941,1125,&#39;최초 공개&#39; NCT WISH - poppop #엠카운트다운 EP.884 | Mnet 250417 방송,NgJCaXl1nPk
2025-04-17T10:21:41Z,59142,167,&#39;컴백 인터뷰&#39; NCT WISH (엔시티 위시) #엠카운트다운 EP.884 | Mnet 250417 방송,IsCiOXGttSA
2025-04-17T10:21:04Z,96991,320,[MPD직캠] 엔시티 위시 직캠 8K &#39;poppop&#39; (NCT WISH FanCam) | @MCOUNTDOWN_2025.4.17,HrhbUfNnIA4
